address*unit*neighborhood*space_type*rent_type*size*price\n902 Broadway,  Flatiron, New York, NY 10003 *8th Floor*Flatiron*Office*Lease*17,185*
512 7th Ave,  Midtown, New York, NY 10018 *7th Floor*Midtown*Office*Lease*14,630*
512 7th Ave,  Midtown, New York, NY 10018 *6th Floor*Midtown*Office*Lease*14,630*
512 7th Ave,  Midtown, New York, NY 10018 *32nd Floor*Midtown*Office*Lease*2,246*
500 7th Ave,  Midtown, New York, NY 10018 *16th Floor*Midtown*Office*Lease*25,559*
500 7th Ave,  Midtown, New York, NY 10018 *Unit A*Midtown*Office*Lease*8,000*
500 7th Ave,  Midtown, New York, NY 10018 *7th Floor*Midtown*Office*Lease*13,082*
500 7th Ave,  Midtown, New York, NY 10018 *Unit A*Midtown*Office*Lease*9,102*
512 7th Ave,  Midtown, New York, NY 10018 *31st Floor*Midtown*Office*Lease*12,117*
101 W 116th St,  Upper Manhattan, New York, NY 10026 *2nd Floor*Upper*Office*Lease*525*
101 W 116th St,  Upper Manhattan, New York, NY 10026 *2nd Floor*Upper*Office*Lease*138*
101 W 116th St,  Upper Manhattan, New York, NY 10026 *2nd Floor*Upper*Office*Lease*1,394*
2791 8th Ave,  Upper Manhattan, New York, NY 10039 *Unit  Ground*Upper*Office*Lease*3,195*
